Month,Budget,Return($M),ROI(%),Print,TV,SEO,AdWords,Facebook,LinkedIn,Instagram,Snapchat,Twitter,Email
Jan,10.0,0.5394,5.3942,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
Feb,10.2697,0.4207,4.0968,2.6197,0.0,0.0,2.55,3.0,2.1,0.0,0.0,0.0,0.0
Mar,10.4801,0.5488,5.2363,2.392,0.0,0.0,2.696,2.392,3.0,0.0,0.0,0.0,0.0
Apr,10.7545,0.5237,4.8696,3.0,0.0,0.0,1.7545,3.0,3.0,0.0,0.0,0.0,0.0
May,11.0163,0.6315,5.7328,3.0,0.0,0.0,0.0,0.0,3.0,2.0163,0.0,0.0,3.0
Jun,11.3321,0.5305,4.6811,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.3321,0.0
Jul,11.5973,0.6114,5.2717,2.5973,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
Aug,11.903,0.6167,5.1813,0.6,0.0,0.0,3.0,0.6,3.0,0.0,1.703,3.0,0.0
Sep,12.2114,0.6519,5.3383,3.0,0.0,0.0,2.3705,0.9,3.0,0.8409,0.0,0.0,2.1
Oct,12.5373,0.7483,5.9686,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.5373
Nov,12.9115,0.644,4.9878,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.9115
Dec,13.2335,0.6165,4.6587,3.0,0.0,0.0,1.9335,0.0,3.0,0.0,0.0,2.3,3.0
